section_id,doc_id,api_id,api_name,api_type,namespace
DefaultMenuManagerType::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/DefaultMenuManagerType/DefaultMenuManagerType,DevExpress.ExpressApp.Office.Win.DefaultMenuManagerType,DefaultMenuManagerType,property,DevExpress.ExpressApp.Office.Win
DefaultMenuManagerType::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/DefaultMenuManagerType/DefaultMenuManagerType,DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings.MenuManagerType,MenuManagerType,enum,DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings
CustomHeight::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelRichTextColumn/CustomHeight,DevExpress.ExpressApp.Office.Win.IModelRichTextColumn.CustomHeight,CustomHeight,property,DevExpress.ExpressApp.Office.Win.IModelRichTextColumn
IModelRichTextColumn::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelRichTextColumn/IModelRichTextColumn,DevExpress.ExpressApp.Model.IModelColumn,IModelColumn,interface,DevExpress.ExpressApp.Model
IModelRichTextColumn::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelRichTextColumn/IModelRichTextColumn,DevExpress.ExpressApp.Office.Win.IModelRichTextColumn._membersaltText,_membersaltText,class,DevExpress.ExpressApp.Office.Win.IModelRichTextColumn
IModelRichTextColumn::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelRichTextColumn/IModelRichTextColumn,DevExpress.ExpressApp.Office.Win.IModelRichTextColumn,IModelRichTextColumn,interface,DevExpress.ExpressApp.Office.Win
IModelWinOfficeMenuManagerSettings::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelWinOfficeMenuManagerSettings/IModelWinOfficeMenuManagerSettings,DevExpress.ExpressApp.Model.IModelPropertyEditor,IModelPropertyEditor,interface,DevExpress.ExpressApp.Model
IModelWinOfficeMenuManagerSettings::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelWinOfficeMenuManagerSettings/IModelWinOfficeMenuManagerSettings,DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings._membersaltText,_membersaltText,class,DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings
IModelWinOfficeMenuManagerSettings::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelWinOfficeMenuManagerSettings/IModelWinOfficeMenuManagerSettings,DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings,IModelWinOfficeMenuManagerSettings,interface,DevExpress.ExpressApp.Office.Win
MenuManagerType::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelWinOfficeMenuManagerSettings/MenuManagerType,DevExpress.ExpressApp.Office.Win.DefaultMenuManagerType,DefaultMenuManagerType,property,DevExpress.ExpressApp.Office.Win
MenuManagerType::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/IModelWinOfficeMenuManagerSettings/MenuManagerType,DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings.MenuManagerType,MenuManagerType,property,DevExpress.ExpressApp.Office.Win.IModelWinOfficeMenuManagerSettings
InplaceDocumentCacheStorage::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/InplaceDocumentCacheStorage/InplaceDocumentCacheStorage,DevExpress.ExpressApp.Office.InplaceDocumentCacheStorageBase.ClearCache,ClearCache,class,DevExpress.ExpressApp.Office.InplaceDocumentCacheStorageBase
InplaceDocumentCacheStorage::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/InplaceDocumentCacheStorage/InplaceDocumentCacheStorage,DevExpress.ExpressApp.Office.Win.InplaceDocumentCacheStorage._membersaltText,_membersaltText,class,DevExpress.ExpressApp.Office.Win.InplaceDocumentCacheStorage
InplaceDocumentCacheStorage::1,data/raw_md/apidoc/DevExpress.ExpressApp.Office.Win/InplaceDocumentCacheStorage/InplaceDocumentCacheStorage,DevExpress.ExpressApp.Office.Win.InplaceDocumentCacheStorage,InplaceDocumentCacheStorage,property,DevExpress.ExpressApp.Office.Win
